tid,gender,tDept,Enroll,Evals Made,Eval/Enroll,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,rEasy,rHelpful,rInterest,rOverall,rWouldTakeAgain,rmp Grade,sentimentValue,teacherRatingTags,rmp Evals/Enroll,rmp Evals
7853,1.0,PHYS,3803,1478,0.38864054693662897,0.7175236806495263,0.5314864682002708,6.288403247631936,3.1007104194857913,2.8981596752368066,3.217948717948718,2.4615384615384617,3.116279069767442,2.4743589743589745,0.3333333333333333,3.4799999999999995,0.06854247512340461,"Test heavy,Get ready to read,Tough grader,",0.020510123586642125,78.0
7855,1.0,CHEM,19349,9774,0.5051423846193601,0.8611718845917742,0.8859330877839166,7.689782074892574,3.014609167178228,2.8653955696202527,3.716535433070866,3.916010498687664,3.238095238095238,4.018372703412074,0.7307692307692307,3.142857142857143,0.14017665532025456,"Amazing lectures,Caring,Tough grader,Respected,""Skip class? You won t pass."",Hilarious,Get ready to read,Test heavy,Lots of homework,Lecture heavy,Accessible outside class,Inspirational,Clear grading criteria,Gives good feedback,Participation matters,",0.01969094010026358,381.0
7857,1.0,MMW,2529,1579,0.6243574535389482,0.8461108296390121,0.9471678277390755,6.37058898036732,3.3121659278024067,3.0676630778974037,2.883720930232558,4.534883720930233,3.508771929824561,4.575581395348837,,3.0,0.28724289946549086,,0.034005535784895215,86.0
7858,1.0,MAE,3328,1333,0.40054086538461536,0.8459977494373595,0.7164388597149287,6.840502625656413,3.4144048582995943,3.1106009615384616,2.864406779661017,3.169491525423729,3.2285714285714286,2.711864406779661,0.0,4.0,0.031384096547938355,"Graded by few things,Lots of homework,Clear grading criteria,Test heavy,Get ready to read,Respected,Inspirational,Hilarious,",0.017728365384615384,59.0
7859,1.0,MATH,1958,851,0.4346271705822268,0.791921269095182,0.6832949471210338,6.483631022326674,3.2857344300822557,2.758213851761847,2.8292682926829267,2.5365853658536586,3.1666666666666665,2.3902439024390243,0.0,,0.06489140162006016,"Lots of homework,Lecture heavy,""Skip class? You won t pass."",Tough grader,Hilarious,EXTRA CREDIT,Caring,",0.02093973442288049,41.0
9709,1.0,HUM,3744,1712,0.45726495726495725,0.6750029205607475,0.7904585280373831,6.6176168224299055,2.9245504926108374,2.721314252336449,3.2758620689655173,3.4482758620689653,2.652173913043478,3.25,0.0,2.6666666666666665,-0.004255884777282561,"Get ready to read,Lecture heavy,Amazing lectures,Caring,Respected,",0.015491452991452992,58.0
26354,1.0,PSYC,121,85,0.7024793388429752,0.835,0.918,3.6300000000000003,,,3.945945945945946,2.972972972972973,3.7142857142857144,3.175675675675676,0.0,2.0,0.06981071043571041,"Tough grader,",0.30578512396694213,37.0
29553,1.0,ICAM,988,519,0.5253036437246964,0.7070134874759153,0.6975549132947977,4.291098265895955,3.558409785932722,3.184040697674418,3.272727272727273,1.7272727272727273,2.7333333333333334,1.7045454545454546,,,-0.07989612029384756,,0.022267206477732792,22.0
32593,1.0,POLI,1308,519,0.3967889908256881,0.8129036608863199,0.7632427745664739,4.915298651252408,3.3447591522157993,2.902832369942196,2.5,3.6470588235294117,3.6296296296296298,3.985294117647059,,,0.19236214532109144,,0.02599388379204893,34.0
35989,1.0,MMW,2535,1484,0.5854043392504931,0.728630727762803,0.8799642857142855,6.20818059299191,3.2851212938005387,3.1558604008293023,2.685185185185185,4.018518518518518,3.210526315789474,3.8981481481481484,0.75,3.9,0.2511282467532468,"Beware of pop quizzes,Accessible outside class,Hilarious,Caring,Respected,Amazing lectures,Clear grading criteria,",0.021301775147928994,54.0
